id,title,url,date_iso,year,abstract,source,doi,notes
1,Mice in Bion-M 1 Space Mission: Training and Selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,8/18/2014,2014,"After a 16-year hiatus, Russia has resumed its program of biomedical research in space, with the successful 30-day flight of the Bion-M 1 biosatellite (April 19–May 19, 2013). The principal species for biomedical research in this project was the ...",html/json-ld,10.1371/journal.pone.0104830,
2,"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,4/18/2013,2013,"Bone is a dynamically remodeled tissue that requires gravity-mediated mechanical stimulation for maintenance of mineral content and structure. Homeostasis in bone occurs through a balance in the activities and signaling of osteoclasts, osteoblasts, ...",html/json-ld,10.1371/journal.pone.0061372,
3,Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,3/27/2025,2025,"Microgravity, defined by minimal gravitational forces, represents a unique environment that profoundly influences biological systems, including human cells. This review examines the effects of microgravity on biological processes and their ...",html/json-ld,10.3390/ijms26073058,
4,Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,3/4/2021,2021,"Therapeutic effects of adult stem-cell transplantations are limited by poor cell-retention in target organs, and a reduced potential for optimal cell differentiation compared to embryonic stem cells. However, contemporary studies have indicated ...",html/json-ld,10.3390/cells10030560,
5,Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,9/6/2017,2017,"The International Space Station (ISS) National Laboratory is dedicated to studying the effects of space on life and physical systems, and to developing new science and technologies for space exploration. A key aspect of achieving these goals is to ...",html/json-ld,10.1371/journal.pone.0183480,
6,Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,8/23/2021,2021,"Spaceflight causes cardiovascular changes due to microgravity-induced redistribution of body fluids and musculoskeletal unloading. Cardiac deconditioning and atrophy on Earth are associated with altered Trp53 and oxidative stress-related pathways, ...",html/json-ld,10.3390/ijms22169088,
7,Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,10/10/2017,2017,"Space radiation may pose a risk to skeletal health during subsequent aging. Irradiation acutely stimulates bone remodeling in mice, although the long-term influence of space radiation on bone-forming potential (osteoblastogenesis) and possible ...",html/json-ld,10.3390/ijms18102117,
8,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,1/12/2017,2017,"NASA’s Space Biology and Human Research Program entities have recently spearheaded communications both internally and externally to coordinate the agency’s translational research efforts. In this paper, we strongly advocate for translational ...",html/json-ld,10.1038/s41526-016-0002-8,
9,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,10/27/2018,2018,"One potentially important bone quality characteristic is the response of bone to cyclic (repetitive) mechanical loading. In small animals, such as in rats and mice, cyclic loading experiments are particularly challenging to perform in a precise ...",html/json-ld,10.1016/j.bonr.2018.10.002,
10,Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,8/21/2019,2019,"Bone can become brittle when exposed to ionizing radiation across a wide range of clinically relevant doses that span from radiotherapy (accumulative 50 Gy) to sterilization (~35,000 Gy). While irradiation-induced embrittlement has been attributed ...",html/json-ld,10.1016/j.bone.2019.115043,
